network,channel,station,location,starttime,endtime,sampling_rate,mean_data,PC1,PC2
ZZ,HHZ,FWU3,10,2019-11-12T00:00:00,2019-11-12T08:32:45.200000,250.0,-517.6666666666666,-0.010078629825674798,0.12051660776585897
ZZ,HHZ,FWU3,10,2019-12-18T00:00:00,2019-12-18T23:59:59.996000,250.0,-7104.666666666667,-1.8547914477770577,0.4804053617272655
ZZ,HHZ,FWU3,10,2019-11-27T00:00:00,2019-11-27T23:59:59.996000,250.0,-1997.6666666666667,-0.364428378574072,0.6586781259168146
ZZ,HHZ,FWU3,10,2019-11-24T00:00:00,2019-11-24T23:59:59.996000,250.0,2969.6666666666665,0.897215840401717,0.19598159957268577
ZZ,HHZ,FWU3,10,2019-12-03T00:00:00,2019-12-03T23:59:59.996000,250.0,394.0,0.23296410024726513,0.12606020786119904
ZZ,HHZ,FWU3,10,2019-12-07T00:00:00,2019-12-07T23:59:59.996000,250.0,-1610.3333333333333,-0.319032053987034,0.6047140493011541
ZZ,HHZ,FWU3,10,2019-11-08T00:00:00,2019-11-08T23:59:59.996000,250.0,-3390.6666666666665,-0.8165509885311818,0.3502129406497554
ZZ,HHZ,FWU3,10,2019-12-16T00:00:00,2019-12-16T23:59:59.996000,250.0,-377.0,0.026589040928254915,0.13799059630474342
ZZ,HHZ,FWU3,10,2019-12-09T00:00:00,2019-12-09T23:59:59.996000,250.0,3588.3333333333335,1.1399375621031076,-0.5434950609968656
ZZ,HHZ,FWU3,10,2019-12-15T00:00:00,2019-12-15T23:59:59.996000,250.0,64.0,0.12002225695773105,0.5334732523058883
ZZ,HHZ,FWU3,10,2019-11-16T00:00:00,2019-11-16T23:59:59.996000,250.0,1755.0,0.5932248276135323,0.4456453017407711
ZZ,HHZ,FWU3,10,2019-12-19T00:00:00,2019-12-19T23:59:59.996000,250.0,977.3333333333334,0.3885033229913642,0.30082211740121806
ZZ,HHZ,FWU3,10,2019-11-18T00:00:00,2019-11-18T23:59:59.996000,250.0,3240.3333333333335,1.0228035826772468,-0.07789482253728977
ZZ,HHZ,FWU3,10,2019-11-28T00:00:00,2019-11-28T23:59:59.996000,250.0,11557.0,3.2878287745362598,1.7133697557461074
ZZ,HHZ,FWU3,10,2019-12-14T00:00:00,2019-12-14T23:59:59.996000,250.0,122.66666666666667,0.1902727408844764,-0.02729337728098633
ZZ,HHZ,FWU3,10,2019-12-22T00:00:00,2019-12-22T23:59:59.996000,250.0,-509.0,0.02811913225022056,-0.7476634019372882
ZZ,HHZ,FWU3,10,2019-11-26T00:00:00,2019-11-26T23:59:59.996000,250.0,6626.0,1.8995264330098243,1.7641026612823938
ZZ,HHZ,FWU3,10,2019-12-04T00:00:00,2019-12-04T23:59:59.996000,250.0,-6313.333333333333,-1.5246142859215546,-1.5232703766083957
ZZ,HHZ,FWU3,10,2019-11-05T00:00:00,2019-11-05T18:49:16.284000,250.0,-3475.3333333333335,-0.8541845488724696,-1.9066178339685882
ZZ,HHZ,FWU3,10,2019-11-20T00:00:00,2019-11-20T23:59:59.996000,250.0,173.33333333333334,0.1866937343116997,-0.3500336963873846
ZZ,HHZ,FWU3,10,2019-11-15T00:00:00,2019-11-15T23:59:59.996000,250.0,-2.6666666666666665,0.12623175694010144,0.17811550415835975
ZZ,HHZ,FWU3,10,2019-12-27T00:00:00,2019-12-27T01:55:33.660000,250.0,-1363.0,-0.20256131372449,-0.6434700290321421
ZZ,HHZ,FWU3,10,2019-11-29T00:00:00,2019-11-29T23:59:59.996000,250.0,150.66666666666666,0.1673744654391566,0.13758108418132675
