Table 1
Unit Name,Type of Downtime Entry,First Day,Downtime on First Day,Downtime Code 1,Last Day,Downtime on Last Day,Total Downtime,,,,,,,,,,,,,,,,,,,
FWU #808,single day,10/7/19,12.00,Downhole Failure,10/7/19,,12.00,,,,,,,,,,,,,,,,,,,
FWU #909,single day,10/7/19,8.00,Downhole Failure,10/7/19,,8.00,,,,,,,,,,,,,,,,,,,
FWU #808,multi day,10/8/19,,Downhole Failure,11/8/19,,720.00,,,,,,,,,,,,,,,,,,,
FWU #909,multi day,10/8/19,,Downhole Failure,10/18/19,,216.00,,,,,,,,,,,,,,,,,,,
FWU #808,multi day,10/8/19,,Downhole Failure,11/8/19,,720.00,,,,,,,,,,,,,,,,,,,
FWU #701,single day,10/18/19,,Pipeline Failure,10/18/19,,0.00,,,,,,,,,,,,,,,,,,,
FWU #1306,single day,10/21/19,8.00,Surface Equipment Failure,10/21/19,,8.00,,,,,,,,,,,,,,,,,,,
FWU #1508,single day,10/24/19,5.00,Power Failure,10/24/19,,5.00,,,,,,,,,,,,,,,,,,,
FWU #1306,multi day,10/25/19,,Downhole Failure,11/2/19,,168.00,,,,,,,,,,,,,,,,,,,
FWU #1306,multi day,10/25/19,,Downhole Failure,11/2/19,,168.00,,,,,,,,,,,,,,,,,,,
FWU #2310,multi day,10/26/19,2.00,Downhole Failure,10/26/19,,,,,,,,,,,,,,,,,,,,,
FWU #503,single day,10/26/19,6.00,Power Failure,10/26/19,,6.00,,,,,,,,,,,,,,,,,,,
FWU #701,single day,10/26/19,5.00,Power Failure,10/26/19,,5.00,,,,,,,,,,,,,,,,,,,
FWU #907,single day,10/26/19,5.00,Power Failure,10/26/19,,5.00,,,,,,,,,,,,,,,,,,,
FWU #909,single day,10/26/19,5.00,Power Failure,10/26/19,,5.00,,,,,,,,,,,,,,,,,,,
FWU #1316,multi day,10/28/19,24.00,Shut In - Temporary,10/28/19,,,,,,,,,,,,,,,,,,,,,
FWU #1317,multi day,10/28/19,24.00,Shut In - Temporary,10/28/19,,,,,,,,,,,,,,,,,,,,,
FWU #907,multi day,10/28/19,24.00,Shut In - Temporary,10/28/19,,,,,,,,,,,,,,,,,,,,,
FWU #1316,multi day,10/29/19,24.00,Shut In - Temporary,11/7/19,,216.00,,,,,,,,,,,,,,,,,,,
FWU #804 (INJ),multi day,10/29/19,24.00,Shut In - Temporary,10/29/19,,,,,,,,,,,,,,,,,,,,,
FWU #1316,multi day,10/29/19,24.00,Shut In - Temporary,11/7/19,,216.00,,,,,,,,,,,,,,,,,,,
FWU #907,multi day,10/30/19,24.00,Shut In - Temporary,11/1/19,,48.00,,,,,,,,,,,,,,,,,,,
FWU #907,multi day,10/30/19,24.00,Shut In - Temporary,11/1/19,,48.00,,,,,,,,,,,,,,,,,,,
FWU #1317,multi day,10/31/19,24.00,Shut In - Temporary,11/7/19,,168.00,,,,,,,,,,,,,,,,,,,
FWU #1508,multi day,10/31/19,24.00,Shut In - Temporary,11/1/19,,24.00,,,,,,,,,,,,,,,,,,,
FWU #1317,multi day,10/31/19,24.00,Shut In - Temporary,11/7/19,,168.00,,,,,,,,,,,,,,,,,,,
FWU #1508,multi day,10/31/19,24.00,Shut In - Temporary,11/1/19,,24.00,,,,,,,,,,,,,,,,,,,
FWU #804 (INJ),multi day,11/1/19,,Shut In - Temporary,11/1/19,,,,,,,,,,,,,,,,,,,,,
FWU #804 (INJ),multi day,11/3/19,,Shut In - Temporary,11/4/19,,0.00,,,,,,,,,,,,,,,,,,,
FWU #1602,single day,11/8/19,,Well Workover,11/8/19,,0.00,,,,,,,,,,,,,,,,,,,
FWU #2008,single day,11/11/19,24.00,Pipeline High Pressure,11/11/19,,24.00,,,,,,,,,,,,,,,,,,,
FWU #1603 (INJ),multi day,11/12/19,,,11/12/19,,,,,,,,,,,,,,,,,,,,,
FWU #502 (INJ),single day,11/12/19,,Logged Up (No flow),11/12/19,,0.00,,,,,,,,,,,,,,,,,,,
FWU #907,single day,11/12/19,,,11/12/19,,0.00,,,,,,,,,,,,,,,,,,,
FWU #1306,single day,11/15/19,14.00,Power Failure,11/15/19,,14.00,,,,,,,,,,,,,,,,,,,
FWU #1312,single day,11/15/19,14.00,Power Failure,11/15/19,,14.00,,,,,,,,,,,,,,,,,,,
FWU #501,single day,11/15/19,14.00,Power Failure,11/15/19,,14.00,,,,,,,,,,,,,,,,,,,
FWU #503,single day,11/15/19,14.00,Power Failure,11/15/19,,14.00,,,,,,,,,,,,,,,,,,,
FWU #601,single day,11/15/19,14.00,Power Failure,11/15/19,,14.00,,,,,,,,,,,,,,,,,,,
FWU #602,single day,11/15/19,14.00,Power Failure,11/15/19,,14.00,,,,,,,,,,,,,,,,,,,
FWU #701,single day,11/15/19,14.00,Power Failure,11/15/19,,14.00,,,,,,,,,,,,,,,,,,,
FWU #907,single day,11/15/19,14.00,Power Failure,11/15/19,,14.00,,,,,,,,,,,,,,,,,,,
