Table 1
Unit Name,Meter Name,Date,End Reading,,,,,,,
FWU #1310A (INJ),FWU #1310A Water,6/15/19,0.00,,,,,,,
FWU #1311 (SWD),FWU #1311 (SWD) Water Meter,6/15/19,"2,145.00",,,,,,,
FWU #1313 (INJ),FWU #1313 Water,6/15/19,0.00,,,,,,,
FWU #1401 (INJ),FWU #1401 Water,6/15/19,433.00,,,,,,,
FWU #1502 (INJ),FWU #1502 Water,6/15/19,268.00,,,,,,,
FWU #1505 (INJ),FWU #1505 Water,6/15/19,0.00,,,,,,,
FWU #1506 (INJ),FWU #1506 Water,6/15/19,0.00,,,,,,,
FWU #1603 (INJ),FWU #1603 Water,6/15/19,0.00,,,,,,,
FWU #2 (WSW),Water Well Meter #2,6/15/19,"118,038.00",,,,,,,
FWU #502 (INJ),FWU #502 Water,6/15/19,953.00,,,,,,,
FWU #803 (INJ),FWU #803 Water,6/15/19,"1,298.00",,,,,,,
FWU #804 (INJ),FWU #804 Water,6/15/19,0.00,,,,,,,
